Country,Activity,Commodity,Sub-commodity,2020
United Kingdom,imports,tin,Concentrates                                      ,25.0
United Kingdom,imports,tin,Scrap                                             ,5.0
United Kingdom,imports,tin,Unwrought                                         ,3641.0
United Kingdom,imports,tin,Unwrought alloys                                  ,49.0
