Country,Activity,Commodity,Sub-commodity,2020
Chile,production,rhenium,,30.0
China,production,rhenium,,3.0
Kazakhstan,production,rhenium,,1.0
Poland,production,rhenium,,10.0
Russia,production,rhenium,,2.0
USA,production,rhenium,,8.0
Uzbekistan,production,rhenium,,0.0
