Country,Activity,Commodity,Sub-commodity,2020
France,production,sillimanite_minerals,Andalusite                                        ,65000.0
India,production,sillimanite_minerals,Kyanite                                           ,4925.0
India,production,sillimanite_minerals,Sillimanite                                       ,11110.0
Madagascar,production,sillimanite_minerals,,0.0
Nepal,production,sillimanite_minerals,Kyanite                                           ,0.0
South Africa,production,sillimanite_minerals,Andalusite                                        ,180000.0
USA,production,sillimanite_minerals,Kyanite                                           ,85000.0
