Country,Activity,Commodity,Sub-commodity,2020
Canada,production,nepheline_syenite,,506000.0
Norway,production,nepheline_syenite,,324000.0
Russia,production,nepheline_syenite,Nepheline concentrates,1159400.0
Russia,production,nepheline_syenite,,4599000.0
