Country,Activity,Commodity,Sub-commodity,2020
Australia,production,magnesite,,820057.0
Austria,production,magnesite,,816370.0
Brazil,production,magnesite,,1700000.0
Canada,production,magnesite,,160000.0
China,production,magnesite,,18000000.0
Colombia,production,magnesite,,1077.0
Finland,production,magnesite,,136167.0
Greece,production,magnesite,,275100.0
Guatemala,production,magnesite,,4700.0
India,production,magnesite,,78144.0
Iran,production,magnesite,,155000.0
Israel,production,magnesite,,113903.0
"Korea, Dem. P.R. of",production,magnesite,,150000.0
Mexico,production,magnesite,,800.0
Netherlands,production,magnesite,,243000.0
Pakistan,production,magnesite,,40000.0
Philippines,production,magnesite,,140.0
Poland,production,magnesite,,65250.0
Russia,production,magnesite,,2600000.0
Saudi Arabia,production,magnesite,,244000.0
Slovakia,production,magnesite,,516900.0
South Africa,production,magnesite,,6000.0
Spain,production,magnesite,,626055.0
Turkey,production,magnesite,,1560818.0
