Country,Activity,Commodity,Sub-commodity,2020
Algeria,production,helium,Helium,14.0
Australia,production,helium,Helium,4.0
Poland,production,helium,Helium,4.0
Qatar,production,helium,Helium,45.0
Russia,production,helium,Helium,5.0
USA,production,helium,Helium,61.0
