Country,Activity,Commodity,Sub-commodity,2020
Slovakia,production,ferro-alloys,Ferro-silico-manganese                            ,33800.0
Slovakia,production,ferro-alloys,Ferro-silicon                                     ,29600.0
Slovakia,production,ferro-alloys,Other ferro-alloys                                ,1200.0
South Africa,production,ferro-alloys,Ferro-alloys                                      ,2984105.0
Spain,production,ferro-alloys,Ferro-manganese                                   ,28000.0
Spain,production,ferro-alloys,Ferro-silico-manganese                            ,83000.0
Spain,production,ferro-alloys,Ferro-silicon                                     ,77000.0
Spain,production,ferro-alloys,Silicon metal                                     ,5000.0
Sweden,production,ferro-alloys,Ferro-chrome                                      ,120000.0
Turkey,production,ferro-alloys,Ferro-chrome                                      ,80000.0
Turkey,production,ferro-alloys,Ferro-silico-chrome                               ,3000.0
USA,production,ferro-alloys,Ferro-Alloys (Ferro-silicon & silicon metal),290000.0
Ukraine,production,ferro-alloys,Ferro-manganese                                   ,117215.0
Ukraine,production,ferro-alloys,Ferro-nickel                                      ,73700.0
Ukraine,production,ferro-alloys,Ferro-silico-manganese                            ,850000.0
Ukraine,production,ferro-alloys,Ferro-silicon                                     ,97000.0
Ukraine,production,ferro-alloys,Other ferro-alloys                                ,100000.0
Venezuela,production,ferro-alloys,Ferro-manganese                                   ,6000.0
Venezuela,production,ferro-alloys,Ferro-nickel                                      ,25000.0
Venezuela,production,ferro-alloys,Ferro-silico-manganese                            ,7000.0
Venezuela,production,ferro-alloys,Ferro-silicon                                     ,40000.0
Zimbabwe,production,ferro-alloys,Ferro-chrome                                      ,300000.0
